Date,Ayrshire and Arran,Borders,Dumfries and Galloway,Fife,Forth Valley,Grampian,Greater Glasgow and Clyde,Highland,Lanarkshire,Lothian,Orkney,Shetland,Tayside,Western Isles,Grand Total
14-Mar-2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
15-Mar-2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
16-Mar-2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
17-Mar-2020,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
18-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,3
19-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6
20-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,6
21-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,7
22-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,10
23-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,14
24-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,16
25-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,22
26-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,25
27-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,33
28-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,40
29-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,41
30-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,47
31-Mar-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,69
01-Apr-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,97
02-Apr-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,126
03-Apr-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,172
04-Apr-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,218
05-Apr-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,220
06-Apr-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,222
07-Apr-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,296
08-Apr-2020,x,x,x,x,x,x,x,x,x,x,x,x,x,x,366
